Key	Comment	EN	FR	DE	ES	PT	IT	KO	JA	JA-JP	ZH-HANS	ZH-HANT	RU
0000-all_protect-0000|data.Name		All Protect					Proteggitutti				全面保护																	
0000-paused-0001|data.Desc		The Pokémon is rendered incapable of taking any action. This status wears off after a few turns.	Le Pokémon est fatigué et ne peut réaliser aucune action. Ce statut disparaît après quelques tours.	Das Pokémon ist unfähig jegliche Aktionen auszuführen. Dieser Status lasst nach einigen Zügen nach.			Il Pokémon non è in grado di compiere alcuna azione. Questo stato svanisce dopo un poì di turni.				这只宝可梦无法做任何事情。该状态在几回合后解除。																	
0000-perish_song-0000|data.Name		Perish Count																										
0000-perish_song-0001|data.Desc		The Pokémon has a Perish Count that drops each time it hears Perish Song. It will faint when it drops to 0.																										
0000-petal_dance-0000|data.Name		Petal Dance	Danse-Fleur	Blättertanz	Danza Pétalo		Petalodanza				花瓣舞																	
0000-petal_dance-0001|data.Desc		The Pokémon will use Petal Dance repeatedly until the status wears off. This status wears off after a few turns, leaving the Pokémon confused from fatigue.	Le Pokémon utilise Danse-Fleur en continu jusqu'à ce que le statut disparaisse. Ce statut disparaît après plusieurs tours, laissant le Pokémon confus de fatigué.	Das Pokémon wird Blättertanz wiederholt einsetzen bis der Status nachlässt. Dieser Status lässt nach einigen Zügen nach, wodurch das Pokémon durch Erschöpfung verwirrt wird.	El Pokémon usará Danza Pétalo repetidamente hasta que el estado desaparezca. Este estado desaparece tras unos turnos, dejando al Pokémon confundido de la fatiga.		Il Pokémon utilizza Petalodanza ripetutamente fino a quando lo stato non svanisce. Questo stato svanisce dopo un po' di turni, lasciando il Pokémon confuso dalla fatica.				这只宝可梦将持续使出花瓣舞直到状态解除。该状态在几回合后解除，并且解除后这只宝可梦将因为疲劳而陷入混乱。																	
0000-phantom_force-0000|data.Name		Phantom Force	Hantise	Phantomkraft	Golpe Fantasma		Spettrotuffo				潜灵奇袭																	
0000-phantom_force-0001|data.Desc		The Pokémon vanished completely and can avoid moves and obstacles. It will reappear in a few turns, or when it chooses to attack.	Le Pokémon disparaît complètement et peut éviter les attaques et les obstacles. Il réapparaît après plusieurs tours ou lorqu'il choisit d'attaquer.	Das Pokémon verschwindet ganz und kann dadurch den meisten Attacken und Hindernissen ausweichen. Es erscheint entweder in einigen Zügen wieder oder wenn es sich entscheidet anzugreifen.	El Pokémon desapareció completamente y puede esquivar movimientos y obstáculos. Reaparecerá en unos turnos, o cuando decida atacar.		Il Pokémon sparisce completamente ed evita la maggior parte delle mosse e degli ostacoli. Riappare dopo un po' di turni o quando sceglie di attaccare.				这只宝可梦完全消失了，可以躲避大多数招式和障碍。在几回合后或主动选择攻击后重新出现。																	
0000-pierce-0000|data.Name		Pierce	Perceur	Durchdringend	Perforador		Perforazione				贯穿																	
0000-pierce-0001|data.Desc		The Pokémon's attacks and items can hit through multiple targets and walls.		Die Attacken und Items des Pokémon können durch mehrere Ziele und Wände hindurch treffen.	Los ataques y objetos del Pokémon puede golpear a través de múltiple objetivos y paredes.		Gli attacchi e gli strumenti del Pokémon possono colpire più bersagli e attraversare i muri.				这只宝可梦的攻击和道具可以穿透多个目标和墙壁。																	
0000-poison-0000|data.Name		Poisoned	Empoisonné	Vergiftet	Envenenado	Envenenado	Avvelenamento				中毒																	
0000-poison-0001|data.Desc		The Pokémon takes damage on every action, and its ability to recover HP is reduced. This status wears off after a few turns.					Il Pokémon subisce danno ad ogni sua azione e il recupero dei PS è limitato. Questo stato svanisce dopo un po' di turni.				这只宝可梦每次行动都会受到伤害，且回复HP的能力也会降低。该状态在几回合后解除。																	
0000-poison_toxic-0000|data.Name		Badly Poisoned	Gravement Empoisonné	Schwer vergiftet	Gravemente envenenado	Gravemente Envenenado	Avvelenamento Grave				剧毒																	
0000-poison_toxic-0001|data.Desc		The Pokémon takes damage on every action, with the damage worsening if it attacks. Its ability to recover HP is also reduced. This status wears off after a few turns.					Il Pokémon subisce danno ad ogni sua azione e questo peggiora di turno in turno nel caso in cui attacchi. Il recupero dei PS è limitato. Questo stato svanisce dopo un po' di turni. 				这只宝可梦每次行动都会受到伤害，如果攻击，毒素会恶化，回复HP的能力也会降低。该状态在几回合后解除。																	
0000-powder-0000|data.Name		Powder		Puder	Polvo Explosivo		Pulviscoppio				粉尘																	
0000-powder-0001|data.Desc		The Pokémon is covered in a powder that causes an explosion when exposed to fire or electricity.		Das Pokémon ist von Puder bedeckt, welches Explosionen verursachen kann, wenn es Feuer oder Elektrizität ausgesetzt wird.	El Pokémon está cubierto de un polvo que causa una explosión cuando está expuesto a fuego o a electricidad.		Il Pokémon è coperto da una polvere che causa un'esplosione quando esposta a fuoco o elettricità.				这只宝可梦被一种粉尘所覆盖，当暴露在火或电中就会引发爆炸。																	
0000-power_charged-0000|data.Name		Power-Charged	Surchargé	Energiegeladen			Sovraccarica				力量充盈																	
0000-power_charged-0001|data.Desc		The Pokémon is able to use moves without charging or recharging, and its PP is prevented from dropping. This status wears off after many turns have passed.					Il Pokémon è in grado di utilizzare mosse senza dover caricare o ricaricare. Inoltre, i suoi PP non diminuiscono. Questo stato svanisce dopo diversi turni.				这只宝可梦可以直接使出需要蓄力的招式，也可以阻止PP被减少。该状态在大量回合后解除。																	
0000-protect-0000|data.Name		Protect	Abri	Schutzschild	Protección		Protezione				守住																	
0000-protect-0001|data.Desc		The Pokémon is protected from all moves. This status wears off after a few turns, or if the Pokémon attacks.					Il Pokémon è protetto da tutte le mosse. Questo stato svanisce dopo un po' di turni o quando sceglie di attaccare.				这只宝可梦受到了保护，不会受到招式影响。该状态在几回合后，或宝可梦攻击后解除。																	
0000-quick_guard-0000|data.Name		Quick Guard	Prévention	Rapidschutz	Anticipo		Anticipo				快速防守																	
0000-quick_guard-0001|data.Desc		The Pokémon is protected from moves that have a long range. This status wears off after a few turns.	Le Pokémon est protégé des attaques à longue distance. Ce statut disparaît après quelques tours.	Das Pokémon ist gegen Attacken mit großer Reichweite geschützt. Dieser Status lässt nach einigen Zügen nach.	El Pokémon está protegido de movimientos con largo alcance. Este estado desaparece tras unos turnos. 		Il Pokémon è protetto da tutte le mosse a lungo raggio. Questo stato svanisce dopo un po' di turni.				这只宝可梦受到了保护，不会受到远程攻击的伤害。该状态在几回合后解除。																	
0000-rage_powder-0000|data.Name		Rage Powder	Poudre Fureur	Wutpulver	Polvo Ira		Polverabbia				愤怒粉																	
0000-rage_powder-0001|data.Desc		The Pokémon is enraged by the enemy and cannot target anyone else with any moves or items. This status wears off after a few turns.	Le Pokémon est enragé par l'ennemi et ne peut pas attaquer quelqu'un d'autre avec un objet ou une capacité. Ce statut disparaît après quelque tours.	Das Pokémon wurde wütend auf den Gegner und es kann kein anderes Ziel als ihn für Attacken und Items auswählen. Dieser Status lässt nach einigen Zügen nach.	El Pokémon está furioso con el enemigo y no puede atacar a otros objetivos con movimientos u objetos. Este estado desaparece tras unos turnos.		Il Pokémon è infuriato dal nemico e non può prendere di mira altri bersagli con mosse o strumenti. Questo stato svanisce dopo un po' di turni.				这只宝可梦被对手激怒了，无法对着对手使用招式或道具。该状态几回合后解除。																	
0000-recruit_boost-0000|data.Name		Recruit Boost	Recruteur	Rekrutierboost			Reclutatore				招募提升																	
0000-recruit_boost-0001|data.Desc		The Pokémon's chances of recruiting other members is temporarily increased.	Le Pokémon à temporairement plus de chances de recuter d'autres membres.	Die Chancen auf eine erfolgreiche Rekrutierung anderer Mitglieder sind für dieses Pokémon erhöht.			Le probabilità di reclutare un Pokémon è temporaneamente aumentata.				这只宝可梦招募其他成员的机会暂时提高了。																	
0000-reflect-0000|data.Name		Reflect	Protection	Reflektor	Reflejo		Riflesso				反射壁																	
0000-reflect-0001|data.Desc		The Pokémon takes half damage from physical attacks. This status wears off after a few turns.		Das Pokémon erhält nur noch halben Schaden von physischen Attacken. Dieser Status lässt nach einigen Zügen nach.	El Pokémon recibe la mitad del daño de los ataques Físicos. Este estado desaparece tras unos turnos.		Il danno subito dagli attachi fisici è dimezzato. Questo stato svanisce dopo un po' di turni.				这只宝可梦受到的物理攻击会减半。该状态在几回合后解除。																	
0000-regeneration-0000|data.Name		Regeneration	Régénération	Regeneration	Regeneración		Rigenerazione				再生																	
0000-regeneration-0001|data.Desc		The Pokémon gradually regains HP each turn. This status wears off after a few turns.		Das Pokemon regeneriert jeden Zug zusätzliche KP. Dieser Statuseffekt endet nach ein paar Zügen.	El Pokémon recupera gradualmente PS cada turno. Este estado desaparece tras unos turnos.		Il Pokémon ripristina i PS un po' alla volta ad ogni turno. Questo stato svanisce dopo un po' di turni.				这只宝可梦每回合逐渐回复HP。该状态在几回合后解除。																	
0000-retaliate-0000|data.Name		Retaliate	Vengeance	Heimzahlung	Represalia		Nemesi				报仇																	
0000-retaliate-0001|data.Desc		The Pokémon is ready to retaliate, unleashing the move whenever a nearby foe attacks an ally. This status wears off after a few turns.	Le Pokémon est prêt à se venger et libère l'attaque dès qu'un ennemi attaque un allié. Ce statut disparaît après quelques tours.	Das Pokémon macht sich für eine Heimzahlung bereit, wodurch es Gegner immer dann angreift, wenn Verbündete von nahen Gegnern angegriffen werden. Dieser Status lässt nach einigen Zügen nach.	El Pokémon está listo para responder, desatando el movimiento cuando un enemigo cercano ataca a un aliado. Este estado desaparece tras unos turnos.		Il Pokémon è pronto a reagire sferrando una mossa ogni volta che un nemico attacca un alleato. Questo stato svanisce dopo un po'.				这只宝可梦正在准备报仇，当附近的对手攻击队友后就会发动招式。该状态在几回合后解除。																	
0000-roosting-0000|data.Name		Roosting	Atterrissage	Ruheort			Trespolo				羽栖																	
0000-roosting-0001|data.Desc		The Pokémon is roosting, eliminating its Flying-type matchups. This status wears off when the Pokémon moves.	Le Pokémon atterris, ce qui élimine ses faiblesses lié au type Vol. Ce statut disparaît quand le Pokémon bouge.	Das Pokémon lässt sich nieder, wodurch es seinen Flug-Typ verliert. Dieser Status lässt nach, sobald sich das Pokémon bewegt.			Il Pokémon si appollaia eliminando il suo tipo Volante. Questo stato svanisce quando il Pokémon si muove.				这只宝可梦正在羽栖，失去了飞行属性的克制关系。该状态在宝可梦移动后解除。																	
0000-safeguard-0000|data.Name		Safeguard	Rune Protect	Bodyguard	Velo Sagrado		Salvaguardia				神秘守护																	
0000-safeguard-0001|data.Desc		The Pokémon is protected from bad status effects with a veil. This status wears off after many turns have passed.	Le Pokémon is protected from bad statut effects with a veil. Ce statut disparaît après plusieurs tours.	Das Pokémon schützt sich mit einem Schleier gegen Statusprobleme. Dieser Status lässt erst nach vielen Zügen nach.	El Pokémon está protegido de los cambios de estado negativos con un velo. Este estado desaparece tras pasar unos turnos.		Il Pokémon è coperto da un velo che lo protegge dai problemi di stato negativi. Questo stato svanisce dopo diversi turni.				这只宝可梦正在被保护，不会陷入异常状态。该状态在大量回合后解除。																	
0000-sand_tomb-0000|data.Name		Sand Tomb	Tourbi-Sable	Sandgrab	Bucle Arena		Sabbiotomba				流沙地狱																	
0000-sand_tomb-0001|data.Desc		The Pokémon is trapped in quicksand, taking gradual damage and preventing it from moving. This status wears off after a few turns.	Le Pokémon est piégé dans un tourbillon de sable, il est immobilisé et prend régulièrement des dégâts. Ce statut disparaît après quelques tours.	Das Pokémon ist in Treibsand gefangen, wodurch es stetig Schaden erhält und jegliche Bewegungen von ihm verhindert werden. Dieser Status lässt nach einigen Zügen nach.	El Pokémon es atrapado en arena movedizas, recibiendo daño gradual e impidiendo moverse. Este estado desaparece tras unos turnos.		Il Pokémon è intrappolato nelle sabbie mobili dove subisce danni un po' alla volta e non è in grado di muoversi. Questo stato svanisce dopo un po' di turni.				这只宝可梦被困在了流沙中，每回合都会受到少量伤害并且无法移动。该状态在几回合后解除。																	
0000-shadow_force-0000|data.Name		Shadow Force	Revenant	Schemenkraft	Golpe Umbrío		Oscurotuffo				暗影奇袭																	
0000-shadow_force-0001|data.Desc		The Pokémon vanished completely and can avoid moves and obstacles. Its Movement Speed is also boosted. It will reappear in a few turns, or when it chooses to attack.	Le Pokémon disparaît complètement et peut éviter les attaques et les obstacles. De plus sa Vitesse de Mouvement est boostée. Il réapparaît après plusieurs tours ou lorqu'il choisit d'attaquer.	Das Pokémon verschwindet ganz und kann dadurch den meisten Attacken und Hindernissen ausweichen. Außerdem erhöht sich das Tempo des Pokémons. Es erscheint entweder in einigen Zügen wieder oder wenn es sich entscheidet anzugreifen.	El Pokémon desapareció completamente y puede esquivar movimientos y obstáculos. Su Velocidad de Movimiento también aumenta. Reaparecerá en unos turnos, o cuando decida atacar.		Il Pokémon sparisce completamente ed evita la maggior parte delle mosse e degli ostacoli. Inoltre, la sua velocità di movimento è aumentata. Riappare dopo un po' di turni o quando sceglie di attaccare.				这只宝可梦完全消失了，可以躲避大多数招式和障碍。它的移动速度也会增加。在几回合后或主动选择攻击后重新出现。																	
0000-shopkeeper-0000|data.Name		Shopkeeper					Commerciante				店主																	
0000-shopkeeper-0001|data.Desc																												
0000-sky_drop_target-0000|data.Name		Sky Drop					Cadutalibera				自由落体																	
0000-sky_drop_target-0001|data.Desc		The Pokémon is being held in the sky and is rendered incapable of any action. Most moves will miss the Pokémon during this time.					Il Pokémon è trattenuto in cielo e impossibilitato di qualsiasi azione. La maggior parte delle mosse mancherà il bersaglio durante questo periodo.				这只宝可梦被带到了空中，无法进行任何行动。在这段时间内，大多数招式都无法命中。																	
0000-sky_drop_user-0000|data.Name		Sky Drop					Cadutalibera				自由落体																	
0000-sky_drop_user-0001|data.Desc		The Pokémon is holding its target in the sky and can avoid most moves. It will drop back down on the next turn.					Il Pokémon tiene il suo bersaglio in cielo e può evitare la maggior parte delle mosse. Torna a terra il turno successivo.				这只宝可梦将目标带上了天空，可以避开大部分的招式。下回合将会落回地面。																	
0000-sleep-0000|data.Name		Asleep	Endormi	Schlafend	Dormido	Adormecido	Sonno				睡眠																	
0000-sleep-0001|data.Desc		The Pokémon is asleep and incapable of any action until it wakes up. This status wears off after a few turns, or if the Pokémon is attacked.	Le Pokémon est endormi et incapable d'effectuer la moindre action jusqu'à son réveil. Ce statut disparaît après quelques tours ou si le Pokémon est attaqué.	Das Pokémon schläft und kann bis es aufwacht keine Aktionen ausführen. Dieser Status lässt entweder nach einigen Zügen nach oder wenn das Pokémon angegriffen wurde.	El Pokémon está dormido e incapaz de realizar ninguna acción hasta que se despierte. Este estado desaparece después de unos turnos, o si el Pokémon es atacado. 	O Pokémon está adormecido e incapaz de realizar qualquer ação até acordar. Esse efeito desaparece depois de alguns turnos, ou se o Pokémon for atacado.	Il Pokémon è addormentato e non è in grado di compiere qualsiasi azione fino a quando non si sveglia. Questo stato dura un po' di turni o se il Pokémon viene attaccato.				这只宝可梦处于睡眠状态，在醒来之前什么也做不了。该状态在几个回合后或受到攻击后解除。																	
0000-sleepless-0000|data.Name		Sleepless	Insomniaque	Schlaflos	Desvelado		Veglia				不眠																	
0000-sleepless-0001|data.Desc		The Pokémon is prevented from becoming drowsy or sleeping. This status wears off after many turns have passed.	Le Pokémon ne peut pas s'endormir ou devenir somnolent. Ce statut disparaît après plusieurs tours.	Das Pokémon kann nicht schläfrig werden bzw. schlafen. Dieser Status lässt erst nach vielen Zügen nach.	El Pokémon es incapaz de quedarse somnoliento o dormir. Este estado desaparece tras pasar unos turnos.		Il Pokémon evita la sonnolenza o di essere addormentato. Questo stato dura diversi turni.				这只宝可梦不会打瞌睡或睡着。该状态在大量回合后解除。																	
0000-slip-0000|data.Name		Slip	Amphibie	Schwimmfähig			Nuoto				水面																	
0000-slip-0001|data.Desc		The Pokémon is given the ability to traverse water.	Le Pokémon peut marcher sur l'eau.	Das Pokémon erlangt die Fähigkeit durch Wasser zu schwimmen.			Il Pokémon è in grado di nuotare.				这只宝可梦能够在水面游行。																	
0000-snatch-0000|data.Name		Snatch	Saisie	Schnapper			Scippo				抢夺																	
0000-snatch-0001|data.Desc		The Pokémon is ready to snatch any stat-boosting move that foes use on themselves. This status wears off after a few turns.	Le pokémon se tient prêt à saisir les augmentation de stats de l'ennemi suite à une capacité. Ce statut disparaît après quelques tours.	Das Pokémon ist bereit, jede statuswertveränderende Attacke, welche Gegner auf sich selbst nutzen, zu schnappen und selbst davon zu profitieren. Dieser Status lässt nach einigen Zügen nach.			Il Pokémon è pronto per scippare qualsiasi mossa che aumenta le statistiche che i nemici vogliono utilizzare su di loro. Questo stato svanisce dopo un po' di turni.				这只宝可梦正在准备抢夺对手对自己使用的能力提升效果。该状态在几回合后解除。																	
0000-stat_charged-0000|data.Name		Stat-Charged		Statuswert-Schutz			Sovrastatico				能力保护																	
0000-stat_charged-0001|data.Desc		The Pokémon is protected from all stat changes, including its own.		Das Pokémon ist gegen jegliche Statuswertsenkungen geschützt. Eigene Statuswertsenkungen sind somit auch eingeschlossen.			Il Pokémon è protetto da tutti i cambiamenti alle statistiche, incluse quelle che utilizza su se stesso.				这只宝可梦受到了保护，能力不会被改变，包括它自己的变化招式。																	
0000-status_protection-0000|data.Name		Status Protection	Protection Statut	Statusschutz			Proteggistato				状态保护																	
0000-status_protection-0001|data.Desc		The Pokémon is protected from a certain status effect. This status wears off after many turns have passed.	Le Pokémon est protégé de certains statuts. Ce statut disparaît après plusieurs tours.	Das Pokémon ist gegen einen bestimmten Statuseffekt geschützt. Dieser Status lässt nach vielen Zügen nach.			Il Pokémon è protetto dall'effetto di alcuni problemi di stato. Questo stato svanisce dopo diversi turni.				这只宝可梦受到了保护，不受某种状态影响。该状态在大量回合后解除。																	
0000-stockpile-0000|data.Name		Stockpile	Stockage	Horter	Reserva		Accumulo				蓄力																	
0000-stockpile-0001|data.Desc		The Pokémon has stockpiled energy, to use in the moves Swallow or Spit Up. It also increases its Defense and Special Defense. This status wears off after many turns have passed.	Le Pokémon stocke de l'énergie pour les capacités Avale et Relâche. Améliore aussi la Défense et la Défense Spéciale. Ce statut disparaît après plusieurs tours.	Das Pokémon hortet Energie, um Attacken wie Entfessler und Verzehrer nutzen zu können. Des Weiteren erhöht es seine Verteidigung und Spezial Verteidigung. Dieser Status lässt nach vielen Zügen nach.	El Pokémon ha acumulado energia, para usarlo en los movimientos Tragar o Escupir. También aumenta su Defensa y Defensa Especial. Este estado desaparece tras pasar unos turnos.		Il Pokémon accumula energia per utilizzarla successivamente in Introenergia o Sfoghenergia. Aumenta anche la Difesa e la Difesa Speciale. Questo stato svanisce dopo diversi turni.				这只宝可梦储存了能量，用于招式吞下或喷出，且防御和特防也会提升。该状态在大量回合后解除。																	
0000-super_mobile-0000|data.Name		Super Mobile	Passmuraille	Supermobil			Super Mobilità				畅通																	
0000-super_mobile-0001|data.Desc		The Pokémon is given the ability to traverse walls.	Le Pokémon peut traverser les murs.	Das Pokémon erlangt die Fähigkeit Wände zu durchqueren.			Il Pokémon può attraversare i muri.				这只宝可梦能够穿越墙壁。																	
0000-sure_shot-0000|data.Name		Sure Shot	Coup Sûr	Scharfschuss			Belcolpo				必中																	
0000-sure_shot-0001|data.Desc		The Pokémon's attacks cannot miss. This status wears off after many turns have passed.	Les attaques du Pokémon ne peuvent pas échouer. Ce statut disparaît après plusieurs tours.	Die Attacken des Pokémon können nicht verfehlen. Dieser Status lässt nach vielen Zügen nach.			Gli attacchi del Pokémon vanno sempre a segno. Questo stato svanisce dopo diversi turni.				这只宝可梦的招式一定会命中。该状态在大量回合后解除。																	
0000-taunted-0000|data.Name		Taunted	Provoqué	Provoziert	Mofado		Provocazione				挑衅																	
0000-taunted-0001|data.Desc		The Pokémon is taunted into only using attacking moves. This status wears off after many turns have passed.	Le Pokémon est provoqué et ne peut utiliser que des attaques offensive. Ce statut disparaît après plusieurs tours.	Das Pokémon wurde provoziert, sodass es nur schadende Attacken nutzen kann. Dieser Status lässt erst nach vielen Zügen nach.	El Pokémon está mofado en usar únicamente movimientos de ataque. Este estado desaparece tras pasar unos turnos.		Il Pokémon è provocato ad utilizzare solamente mosse che arrecano danno. Questo stato svanisce dopo un po' di turni.				这只宝可梦被挑衅了，只能使用攻击招式。该状态在大量回合后解除。																	
0000-telekinesis-0000|data.Name		Telekinesis	Lévikinésie	Telekinese	Telequinesis		Telecinesi				意念移物																	
0000-telekinesis-0001|data.Desc		The Pokémon is floating from telekinesis, preventing it from moving or avoiding attacks. This status wears off after a few turns.	Le Pokémon flotte dans les airs par télékinésie, il ne peut pas bouger ou eviter les attaques. Ce statut disparaît après quelques tours.	Das Pokémon schwebt durch Telekinese, wodurch es sich sowohl nicht mehr bewegen als auch Attacken ausweichen kann. Dieser Status lässt nach einigen Zügen nach.	El Pokémon está flotando por telequinesis, impidiendo moverse o esquivar ataques. Este estado desaparece tras unos turnos.		Il Pokémon fluttua grazie alla telecinesi, impedendogli di muoversi o di schivare gli attacchi. Questo stato svanisce dopo un po' di turni.				这只宝可梦由于意念而悬浮在空中，无法移动或躲避攻击。该状态在几回合后解除。																	
0000-thrash-0000|data.Name		Thrash	Mania	Fuchtler	Golpe		Colpo				大闹一番																	
0000-thrash-0001|data.Desc		The Pokémon will use Thrash repeatedly until the status wears off. This status wears off after a few turns, leaving the Pokémon confused from fatigue.	Le Pokémon utilise Mania en continu jusqu'à ce que le statut disparaisse. Ce statut disparaît après plusieurs tours, laissant le Pokémon confus de fatigué.	Das Pokémon wird Fuchtler wiederholt einsetzen bis der Status nachlässt. Dieser Status lässt nach einigen Zügen nach, wodurch das Pokémon durch Erschöpfung verwirrt wird.	El Pokémon usará Golpe repetidamente hasta que el estado desaparezca. Este estado desaparece tras unos turnos, dejando al Pokémon confundido de la fatiga.		Il Pokémon utilizza Colpo ripetutamente fino a quando lo stato non svanisce. Questo stato svanisce dopo un po' di turni, lasciando il Pokémon confuso dalla fatica.				这只宝可梦将持续使出大闹一番直到状态解除。该状态在几回合后解除，并且解除后这只宝可梦将因为疲劳而陷入混乱。																	
0000-times_move_used-0000|data.Name		Times Move Used	Nombre d'utilisations de la capacité	Anzahl der Attackenutzung	Veces Movimiento Usado		Numero utilizzi mossa				招式使用次数																	
0000-times_move_used-0001|data.Desc																												
0000-torment-0000|data.Name		Torment	Tourmente	Folterknecht	Tormento		Attaccalite				无理取闹																	
0000-torment-0001|data.Desc		The Pokémon is prevented from using the same move twice in a row. This status wears off after many turns have passed.	Le Pokémon ne peut pas utiliser la même capacité deux fois d'affilée. Ce statut disparaît après plusieurs tours.	Das Pokémon kann keine Attacke zweimal hintereinander nutzen. Dieser Status lässt erst nach vielen Zügen nach.	El Pokémon se le impide usar el mismo movimiento dos veces seguidas. Este estado desaparece tras pasar unos turnos.		Il Pokémon non può utilizzare la stessa mossa due volte di seguito. Questo stato svanisce dopo un po' di turni.				这只宝可梦不能连续两次使用相同的招式。该状态在大量回合后解除。																	
0000-transformed-0000|data.Name		Transformed					Trasformato				变身																	
0000-transformed-0001|data.Desc																												
0000-type_boosted-0000|data.Name		Type-Boosted	Boost Type	Typverstärkt			Miglioratipo				属性增强																	
0000-type_boosted-0001|data.Desc		The Pokémon has moves of a certain type boosted. This status wears off after many turns have passed.	Le Pokémon voit ses capacités d'un certain type boostés. Ce statut disparaît après plusieurs tours.	Attacken mit einem bestimmten Typ sind verstärkt. Dieser Status lässt nach vielen Zügen nach.			Alcune mosse di un certo tipo del Pokémon sono potenziate. Questo stato svanisce dopo diversi turni.				这只宝可梦某种属性的招式增强了。该状态在大量回合后解除。																	
0000-type_converted-0000|data.Name		Type-Converted	Conversion Type	Typkonverter			Convertitipo				属性转变																	
0000-type_converted-0001|data.Desc		The Pokémon has all of its moves converted to a single type.	Toutes les capacités du Pokémon sont converties au même type.	Alle Attacken des Pokémon sind in einen einzigen Typ umgewandelt worden.			Tutte le mosse del Pokémon sono convertite in un singolo tipo.				这只宝可梦所有招式的属性都变为了同一种属性。																	
0000-type_protected-0000|data.Name		Type-Protected	Protection-Type	Typschutz			Proteggitipo				属性保护																	
0000-type_protected-0001|data.Desc		The Pokémon is protected from moves of a certain type. This status wears off after many turns have passed.	Le Pokémon est protégé des attaques d'un certain type. Ce statut disparaît après plusieurs tours.	Das Pokémon ist gegen Attacken eines bestimmten Typs geschützt. Dieser Status lässt nach vielen Zügen nach.			Il Pokémon è protetto dalle mosse di un certo tipo. Questo stato svanisce dopo diversi turni.				这只宝可梦受到了保护，不会被某种属性的招式伤害。该状态在大量回合后解除。																	
0000-veiled-0000|data.Name		Veiled																										
0000-veiled-0001|data.Desc																												
0000-was_hurt_last_turn-0000|data.Name		Was Hurt Last Turn	Touché au Dernier Tour	Wurde letzte Runde verletzt	Ha Recibido Daño en el Último Turno		È stato colpito l'ultimo turno				上一回合受到过伤害																	
0000-was_hurt_last_turn-0001|data.Desc																												
0000-water_pledge-0000|data.Name		Water Pledge	Aire d'Eau	Wassersäulen			Acquapatto				水之誓约																	
0000-water_pledge-0001|data.Desc		The Pokémon is ready to unleash a follow-up attack whenever a foe is attacked. This status wears off after a few turns.	Le Pokémon est prêt à libérer une attaque suivie dès qu'un ennemi est attaqué. Ce statut disparaît après quelques tours.	Das Pokémon ist bereit jedes Mal, wenn ein Gegner angegriffen wird, eine nachfolgende Attacke einzusetzen. Dieser Status lässt nach einigen Zügen nach.			Il Pokémon è pronto a sferrare un ulteriore attacco non appena un nemico viene attaccato. Questo stato svanisce dopo un po' di turni.				这只宝可梦随时准备在队友受到攻击后发动后续攻击。该状态在几回合后解除。																	
0000-weakness_drain-0000|data.Name		Weakness Drain		Schwäche aufzehren			Assorbifioco				弱点吸收																	
0000-weakness_drain-0001|data.Desc		The Pokémon will have its HP restored if hit by a super-effective move. This status wears off after many turns have passed.		Das Pokémon regeneriert KP, sobald es von einer sehr effektiven Attacke getroffen wurde. Dieser Status lässt nach vielen Zügen nach.			Il Pokémon recupera PS se colpito da una mossa superefficace. Questo stato svanisce dopo diversi turni.				这只宝可梦受到效果绝佳的招式攻击时，会回复HP。该状态在大量回合后解除。																	
0000-whirlpool-0000|data.Name		Whirlpool	Siphon	Whirlpool	Torbellino		Mulinello				潮旋																	
0000-whirlpool-0001|data.Desc		The Pokémon is trapped in a whirlpool, taking gradual damage and preventing it from moving. This status wears off after a few turns.	Le Pokémon est piégé dans un siphon, il est immobilisé et prend régulièrement des dégâts. Ce statut disparaît après quelques tours.	Das Pokémon ist in einem Whirlpool gefangen, wodurch es stetig Schaden erhält und jegliche Bewegungen von ihm verhindert werden. Dieser Status lässt nach einigen Zügen nach.	El Pokémon es atrapado en un torbellino, recibiendo daño gradual e impidiendo moverse. Este estado desaparece tras unos turnos.		Il Pokémon è intrappolato in un mulinello dove subisce danni un po' alla volta e non è in grado di muoversi. Questo stato svanisce dopo un po' di turni.				这只宝可梦被困在了潮旋中，每回合都会受到少量伤害并且无法移动。该状态在几回合后解除。																	
0000-wide_guard-0000|data.Name		Wide Guard	Garde Large	Rundumschutz	Vastaguardia		Bodyguard				广域防守																	
0000-wide_guard-0001|data.Desc		The Pokémon is protected from moves that hit in a wide range. This status wears off after a few turns.	Le Pokémon est protégé des attaques à large portée. Ce statut disparaît après quelques tours.	Das Pokémon ist gegen Bereichsangriffe geschützt. Dieser Status lässt nach einigen Zügen nach.	El Pokémon está protegido de movimientos que golpean en un rango amplio. Este estado desaparece tras unos turnos.		Il Pokémon è protetto da tutte le mosse a largo raggio. Questo stato svanisce dopo un po' di turni.				这只宝可梦受到了保护，不会受到大范围攻击的伤害。该状态在几回合后解除。																	
0000-wish-0000|data.Name		Wish	Vœu	Wunschtraum	Deseo		Desiderio				祈愿																	
