Key		EN	DE	PT	IT	ZH-HANS	FR	ES	KO	JA	JA-JP	ZH-HANT
0523-bulldoze-0000|data.Name		Bulldoze	Dampfwalze		Battiterra	重踏	Piétisol	Terratemblor	땅고르기	じならし	じならし	重踏
0523-bulldoze-0001|data.Desc		The user strikes everything around it and flattens the ground. This lowers the Movement Speed of those hit.	Der Anwender schlägt alles um sich und ebnet den Boden. Dadurch wird die Bewegungsgeschwindigkeit von getroffenen Gegnern gesenkt.			用力踩踏自己周围的一切，并踏平地面。降低命中者的移动速度。			땅을 힘껏 밟아 자신의 주위에 있는 포켓몬을 공격한다. 상대의 행동속도를 떨어뜨린다.			
0524-frost_breath-0000|data.Name		Frost Breath	Eisesodem		Alitogelido	冰息	Souffle Glacé	Vaho Gélido	얼음숨결	こおりのいぶき	こおりのいぶき	冰息
0524-frost_breath-0001|data.Desc		The user blows its cold breath on the target. This attack always results in a critical hit.	Anwender greift an, indem er dem Ziel eisigen Atem entgegenhaucht. Volltreffergarantie.		Chi la usa attacca il bersaglio con un soffio d’aria gelida. Brutto colpo assicurato.	将冰冷的气息吹向对手进行攻击。必定会击中要害。	Un souffle froid blesse l’ennemi. L’effet est toujours critique.	Quien lo usa ataca lanzando un aliento gélido. Siempre resulta en un golpe crítico.	차가운 숨결을 상대에게 내뿜어 공격한다. 반드시 급소에 맞는다.	つめたい　いきを あいてに　ふきつけて　こうげきする。 かならず　きゅうしょに　あたる。	冷たい　息を 相手に　吹きつけて　攻撃する。 必ず　急所に　当たる。	將冰冷的氣息 吹向對手進行攻擊。 必定會擊中要害。
0525-dragon_tail-0000|data.Name		Dragon Tail	Drachenrute		Codadrago	龙尾	Draco-Queue	Cola Dragón	드래곤테일	ドラゴンテール	ドラゴンテール	龍尾
0525-dragon_tail-0001|data.Desc		The target is struck with the violent whip of a tail, knocking it away.	Das Ziel wird mit einer heftigen Peitsche eines Schweifes getroffen, wodurch dieser zurückgeschlagen wird.			用有力的尾巴将对手抽飞。			상대를 꼬리로 강하게 몇 칸 밀쳐낸다.			
0526-work_up-0000|data.Name		Work Up	Kraftschub		Cuordileone	自我激励	Rengorgement	Avivar	분발	ふるいたてる	ふるいたてる	自我激勵
0526-work_up-0001|data.Desc		The user is roused, and its Attack and Sp. Atk stats increase.	Anwender erhält einen Kraftschub, der seinen Angriff und Spezial-Angriff erhöht.		Chi la usa si tira su di morale, aumentando il proprio Attacco e l’Attacco Speciale.	激励自己，从而提高攻击和特攻。	Le lanceur se rengorge. Augmente l’Attaque et l’Attaque Spéciale.	Quien lo usa se concentra y potencia su Ataque y su Ataque Especial.	스스로 분발해서 공격과 특수공격을 올린다.	じぶんを　ふるいたてて こうげきと　とくこうを　あげる。	自分を　奮いたてて 攻撃と　特攻を　あげる。	激勵自己， 提高自己的攻擊和特攻。
0527-electroweb-0000|data.Name		Electroweb	Elektronetz		Elettrotela	电网	Toile Élek	Electrotela	일렉트릭네트	エレキネット	エレキネット	電網
0527-electroweb-0001|data.Desc		The user attacks and captures opposing Pokémon by using an electric net. This lowers their Movement Speed.	Der Anwender greift an und fängt gegnerische Pokémon mit einem elektischem Netz. Dadurch wird dessen Bewegungsgeschwindigkeit gesenkt.			用电网捉住对手进行攻击。降低对手的移动速度。			전기 네트로 상대를 붙잡아서 공격한다. 상대의 행동속도를 떨어뜨린다.			
0528-wild_charge-0000|data.Name		Wild Charge	Stromstoß		Sprizzalampo	疯狂伏特	Éclair Fou	Voltio Cruel	와일드볼트	ワイルドボルト	ワイルドボルト	瘋狂伏特
0528-wild_charge-0001|data.Desc		The user shrouds itself in electricity and smashes into its target. This also damages the user a little.	Anwender erzeugt Spannung und greift an, indem er auf Kollisionskurs geht. Er selbst erleidet dabei ebenfalls leichten Schaden.		Chi la usa si carica di elettricità per poi scagliarsi sul bersaglio, ma subisce dei danni per il contraccolpo.	让电流覆盖全身撞向对手进行攻击。自己也会受到少许伤害。	Une charge électrique violente qui blesse aussi légèrement le lanceur.	Carga eléctrica muy potente que también hiere ligeramente a quien la usa.	전기를 두르고 상대에게 부딪쳐 공격한다. 자신도 조금 데미지를 입는다.	でんきを　まとって あいてに　ぶつかって　こうげきする。 じぶんも　すこし　ダメージを　うける。	電気を　まとって 相手に　ぶつかって　攻撃する。 自分も　少し　ダメージを　受ける。	讓電流圍繞全身， 衝撞對手進行攻擊。 自己也會受到少許傷害。
0529-drill_run-0000|data.Name		Drill Run	Schlagbohrer		Giravvita	直冲钻	Tunnelier	Taladradora	드릴라이너	ドリルライナー	ドリルライナー	直衝鑽
0529-drill_run-0001|data.Desc		The user crashes into its target while rotating its body like a drill. Critical hits land more easily.	Anwender rammt das Ziel, während er seinen Körper wie einen Bohrer dreht. Hohe Volltrefferquote.		Chi la usa si scaglia sul bersaglio ruotando su se stesso come un trapano perforante. Probabile brutto colpo.	像钢钻一样，一边旋转身体一边撞击对手。容易击中要害。	Le lanceur tourne sur lui-même comme une perceuse et se jette sur l’ennemi. Taux de critiques élevé.	El usuario golpea usando su cuerpo como un taladro. Suele ser crítico.	드릴처럼 몸을 회전시켜서 상대에게 몸통박치기한다. 급소에 맞기 쉽다.	ドリルのように　からだを　かいてん しながら　あいてに　たいあたりする。 きゅうしょに　あたりやすい。	ドリルのように　体を　回転しながら 相手に　体当たりする。 急所に　当たりやすい。	像鑽頭一樣旋轉身體， 猛烈地撞擊對手。 容易擊中要害。
0530-dual_chop-0000|data.Name		Dual Chop	Doppelhieb		Doppiocolpo	二连劈	Double Baffe	Golpe Bis	더블촙	ダブルチョップ	ダブルチョップ	二連劈
0530-dual_chop-0001|data.Desc		The user attacks its target by hitting it with brutal strikes. The target is hit twice in a row.	Versetzt dem Ziel mit massiven Extremitäten Hiebe. Angriff erfolgt zweimal hintereinander.		Chi la usa attacca due volte il bersaglio con dei colpi estremamente forti.	用身体坚硬的部分拍打对手进行攻击。连续2次给予伤害。	Le lanceur frappe l’ennemi deux fois d’affilée avec les parties les plus robustes de son corps.	El usuario golpea brutalmente dos veces seguidas al objetivo.	몸의 단단한 부분으로 상대를 때려 공격한다. 2회 연속으로 데미지를 준다.	からだの　かたいぶぶんで　あいてを たたいて　こうげきする。２かい れんぞくで　ダメージを　あたえる。	体の　硬い部分で　相手を たたいて　攻撃する。 ２回連続で　ダメージを　与える。	用身體的堅硬部分攻擊對手。 連續２次給予傷害。
0531-heart_stamp-0000|data.Name		Heart Stamp	Herzstempel		Cuorestampo	爱心印章	Crève-Cœur	Arrumaco	하트스탬프	ハートスタンプ	ハートスタンプ	愛心印章
0531-heart_stamp-0001|data.Desc		The user unleashes a vicious blow after its cute act makes the target less wary. This may also make the target flinch.	Verleitet Ziel durch Kokettieren zu Unachtsamkeit und verpasst ihm dann einen harten Schlag. Ziel schreckt eventuell zurück.		Chi la usa distrae il bersaglio con un faccino innocente per poi sferrargli un colpo devastante che può farlo tentennare.	以可爱的动作使对手疏忽，乘机给出强烈的一击。有时会使对手畏缩。	Déconcentre l’ennemi avec des mouvements mignons avant de le frapper violemment. Peut aussi l’apeurer.	Grácil gesto que asesta un golpe tremendo al objetivo y puede hacerlo retroceder.	귀여운 모습으로 방심시켜서 강렬한 일격을 날린다. 상대를 풀죽게 만들 때가 있다.	かわいい　しぐさで　ゆだん　させて きょうれつな　いちげきを　あびせる。 あいてを　ひるませる　ことが　ある。	かわいい　しぐさで　油断させて 強烈な　一撃を　浴びせる。 相手を　ひるませることが　ある。	用可愛的動作讓對手疏忽， 趁機發出強烈的一擊。 有時會使對手畏縮。
0532-horn_leech-0000|data.Name		Horn Leech	Holzgeweih		Legnicorno	木角	Encornebois	Asta Drenaje	우드호른	ウッドホーン	ウッドホーン	木角
0532-horn_leech-0001|data.Desc		The user drains the target's energy with its horns. The user's HP is restored by half the damage taken by the target.	Greift Ziel mit Astgeweih an und zapft diesem Nährstoffe ab. Anwender wird um die Hälfte des zugefügten Schadens geheilt.		Chi la usa infilza il bersaglio con le corna e assorbe una quantità di PS pari a metà del danno inferto.	将角刺入，吸取对手的养分。可以回复给予对手伤害的一半HP。	Un coup de corne qui draine l’énergie de l’ennemi. Convertit la moitié des dégâts infligés en PV pour le lanceur.	Un golpe que drena energía. El Pokémon recupera la mitad de los PS arrebatados al objetivo.	뿔을 꿰찔러서 상대의 양분을 흡수한다. 입힌 데미지의 절반에 해당하는 HP를 회복할 수 있다.	つのを　つきさして　あいての　ようぶんを すいとる。あたえた　ダメージの はんぶんの　ＨＰを　かいふく　できる。	つのを　突き刺して　相手の　養分を 吸い取る。与えた　ダメージの 半分の　ＨＰを　回復できる。	將角刺進對手，吸取養分。 可以回復給予對手 傷害的一半ＨＰ。
0533-sacred_sword-0000|data.Name		Sacred Sword	Sanctoklinge		Spadasolenne	圣剑	Lame Sainte	Espada Santa	성스러운칼	せいなるつるぎ	せいなるつるぎ	聖劍
0533-sacred_sword-0001|data.Desc		The user attacks by slicing with a sword. The target's stat changes don't affect this attack's damage.	Schneideangriff mit langem Horn. Richtet Schaden unabhängig von Statusveränderungen des Zieles an.		Chi la usa taglia il bersaglio con una spada magica.  Il danno inflitto ignora le modifiche alle statistiche del Pokémon colpito.	用长角切斩对手进行攻击。无视对手的能力变化，直接给予伤害。	Un coup de corne violent qui lacère l’ennemi et lui inflige des dégâts quels que soient ses changements de stats.	El usuario ataca con una espada, ignorando cualquier cambio en las características del objetivo.	긴 뿔로 베어 공격한다. 상대의 능력 변화에 관계없이 데미지를 준다.	ながい　つので　きりつけ　こうげきする。 あいての　のうりょく　へんかに かんけいなく　ダメージを　あたえる。	長い　つので　切りつけ　攻撃する。 相手の　能力変化に 関係なく　ダメージを　与える。	用長角斬切對手進行攻擊。 可不顧對手的能力變化 給予傷害。
0534-razor_shell-0000|data.Name		Razor Shell	Kalkklinge		Conchilama	贝壳刃	Coquilame	Concha Filo	셸블레이드	シェルブレード	シェルブレード	貝殼刃
0534-razor_shell-0001|data.Desc		The user cuts its target with sharp shells. This may also lower the target's Defense stat.	Schneideangriff mit einer scharfen Muschelschale. Senkt eventuell die Verteidigung des Zieles.		Chi la usa colpisce il bersaglio con il suo guscio affilato. Il colpo può anche ridurre la Difesa del bersaglio.	用锋利的贝壳切斩对手进行攻击。有时会降低对手的防御。	Un coquillage aiguisé lacère l’ennemi. Peut aussi baisser sa Défense.	Una afilada vieira ataca al objetivo. También puede hacer disminuir su Defensa.	날카로운 조개껍질로 베어 공격한다. 상대의 방어를 떨어뜨릴 때가 있다.	するどい　かいがらで　きりつけて こうげきする。あいての　ぼうぎょを さげることが　ある。	鋭い　貝殻で　切りつけて 攻撃する。相手の　防御を さげることが　ある。	用鋒利的貝殼斬切 對手進行攻擊。 有時會降低對手的防禦。
0535-heat_crash-0000|data.Name		Heat Crash	Brandstempel		Marchiafuoco	高温重压	Tacle Feu	Golpe Calor	히트스탬프	ヒートスタンプ	ヒートスタンプ	高溫重壓
0535-heat_crash-0001|data.Desc		The user slams its target with its flame-covered body. The more the user outweighs the target, the greater the move's power.	Rempelattacke mit brennendem Körper. Je schwerer der Anwender im Vergleich zum Ziel ist, desto stärker die Attacke.		Chi la usa carica con il suo corpo rovente. Più è pesante rispetto al bersaglio e più danni causa.	用燃烧的身体撞向对手进行攻击。自己比对手越重，威力越大。	Le lanceur projette son corps enflammé contre l’ennemi. S’il est plus lourd que l’ennemi, l’effet augmente en conséquence.	El usuario ataca con su cuerpo ardiente. Cuanto mayor sea su peso comparado con el del objetivo, más daño causará.	불타는 몸으로 상대에게 부딪쳐서 공격한다. 자신이 상대보다 무거울수록 위력이 올라간다.	もえる　からだで　あいてに　ぶつかって こうげきする。じぶんが　あいてより おもいほど　いりょくが　あがる。	燃える　体で　相手に　ぶつかって 攻撃する。自分が　相手より 重いほど　威力が　あがる。	用燃燒的身體重壓對手 進行攻擊。體重比對手 重越多，威力越大。
0536-leaf_tornado-0000|data.Name		Leaf Tornado	Grasmixer		Vorticerba	青草搅拌器	Phytomixeur	Ciclón de Hojas	그래스믹서	グラスミキサー	グラスミキサー	青草攪拌器
0536-leaf_tornado-0001|data.Desc		The user attacks its target by encircling it in sharp leaves. This attack may also lower the target's Accuracy.	Anwender greift an, indem er das Ziel in scharfes Blattwerk einwickelt. Kann die Genauigkeit senken.		Chi la usa avvolge e attacca il bersaglio con foglie affilate che possono anche ridurne la precisione.	用锋利的叶片包裹住对手进行攻击。有时会降低对手的命中率。	L’ennemi est pris dans un tourbillon de feuilles acérées. Peut aussi baisser sa Précision.	Tritura con afiladas hojas y puede bajar la Precisión del objetivo.	날카로운 잎사귀로 상대를 둘러싸서 공격한다. 명중률을 떨어뜨릴 때가 있다.	するどい　はっぱで　あいてを つつ こんで　こうげきする。 めいちゅうりつを　さげることが　ある。	鋭い　はっぱで　相手を 包 こんで　攻撃する。 命中率を　さげることが　ある。	用銳利的葉子包圍住 對手進行攻擊。 有時會降低對手的命中率。
0537-steamroller-0000|data.Name		Steamroller	Quetschwalze		Rulloduro	疯狂滚压	Bulldoboule	Rodillo de Púas	하드롤러	ハードローラー	ハードローラー	瘋狂滾壓
0537-steamroller-0001|data.Desc		The user crushes its targets by rolling over them with its rolled-up body. This attack may make the target flinch.	Anwender rollt mit rundlichem Körper über das Ziel und drückt es platt. Ziel schreckt eventuell zurück.		Chi la usa ruota su se stesso ad alta velocità e schiaccia il bersaglio. Può anche farlo tentennare.	旋转揉成团的身体压扁对手。有时会使对手畏缩。	Le lanceur se roule en boule et écrase son ennemi. Peut aussi l’apeurer.	El usuario se hace una bola y arrolla al objetivo con su cuerpo. Puede hacerlo retroceder.	둥글게 뭉친 몸을 회전하여 상대를 뭉개 버린다. 상대를 풀죽게 만들 때가 있다.	まるめた　からだで　かいてんして あいてを　おしつぶす。 あいてを　ひるませる　ことが　ある。	まるめた　体で　回転して 相手を　おしつぶす。 相手を　ひるませることが　ある。	旋轉蜷縮成圓形的身體， 壓扁對手。 有時會使對手畏縮。
0538-cotton_guard-0000|data.Name		Cotton Guard	Watteschild		Cotonscudo	棉花防守	Cotogarde	Rizo Algodón	코튼가드	コットンガード	コットンガード	棉花防守
0538-cotton_guard-0001|data.Desc		The user protects itself by wrapping its body in soft cotton, which drastically raises the user's Defense stat.	Anwender schützt sich, indem er sich in einen luftigen Flaum hüllt. Erhöht die Verteidigung drastisch.		Chi la usa avvolge il proprio corpo con del cotone molto morbido, proteggendosi e aumentando moltissimo la propria Difesa.	用软绵绵的绒毛包裹住自己的身体进行守护。巨幅提高自己的防御。	Le lanceur se protège en s’emmitouflant dans du coton. Sa Défense augmente énormément.	Cubre al Pokémon con una madeja protectora. Aumenta muchísimo la Defensa.	푹신푹신한 솜털로 자신의 몸을 둘러싸서 지킨다. 방어를 매우 크게 올린다.	フワフワの　わたげで　じぶんの からだを　つつ こんで　まもる。 ぼうぎょを　ぐぐーんと　あげる。	フワフワの　綿毛で　自分の 体を　包 こんで　守る。 防御を　ぐぐーんと　あげる。	用軟綿綿的絨毛 保護自己的身體。 極大幅提高自己的防禦。
0539-night_daze-0000|data.Name		Night Daze	Nachtflut		Urtoscuro	暗黑爆破	Explonuit	Pulso Noche	나이트버스트	ナイトバースト	ナイトバースト	暗黑爆破
0539-night_daze-0001|data.Desc		The user lets loose a pitch-black shock wave at its target. This may also lower the target's Accuracy.	Anwender greift Ziel mit finsteren Schockwellen an. Senkt eventuell die Genauigkeit.		Chi la usa attacca il bersaglio con un’onda d’urto oscura che può ridurne la precisione.	放出黑暗的冲击波攻击对手。有时会降低对手的命中率。	Le lanceur attaque l’ennemi avec une onde de choc ténébreuse. Peut aussi baisser sa Précision.	Ataca al objetivo con una onda siniestra. Puede bajar su Precisión.	암흑의 충격파를 날려서 상대를 공격한다. 명중률을 떨어뜨릴 때가 있다.	あんこくの　しょうげきはを とばして　あいてを　こうげきする。 めいちゅうりつを　さげることが　ある。	暗黒の　衝撃波を とばして　相手を　攻撃する。 命中率を　さげることが　ある。	放出黑暗的衝擊波攻擊對手。 有時會降低對手的命中率。
0540-psystrike-0000|data.Name		Psystrike	Psychostoß		Psicobotta	精神击破	Frappe Psy	Onda Mental	사이코브레이크	サイコブレイク	サイコブレイク	精神擊破
0540-psystrike-0001|data.Desc		The user materializes an odd psychic wave to attack everything around it. This attack does physical damage.	Anwender erzeugt seltsame Energiewellen, die dem Ziel physischen Schaden zufügen.		Chi la usa attacca il bersaglio facendo materializzare un misterioso raggio psichico che provoca danni fisici.	将神奇的念波实体化攻击对手。给予物理伤害。	Le lanceur matérialise des ondes mystérieuses qu’il projette sur l’ennemi. Inflige des dégâts physiques.	Crea una onda psíquica que causa daño físico al objetivo.	이상한 염력파를 실체화하여 상대를 공격한다. 물리 데미지를 준다.	ふしぎな　ねんぱを　じったいかして あいてを　こうげきする。 ぶつりてきな　ダメージを　あたえる。	不思議な　念波を　実体化して 相手を　攻撃する。 物理的な　ダメージを　与える。	將神奇的念力波實體化後攻擊對手。 給予對手物理傷害。
0541-tail_slap-0000|data.Name		Tail Slap	Kehrschelle		Spazzasberla	扫尾拍打	Plumo-Queue	Plumerazo	스위프뺨치기	スイープビンタ	スイープビンタ	掃尾拍打
0541-tail_slap-0001|data.Desc		The user attacks by striking the target with its hard tail. It hits the target five times in a row.	Anwender greift das Ziel mit seiner schlagfesten Rute an. Es trifft dabei fünf mal hintereinander.			用坚硬的尾巴拍打对手进行攻击。连续攻击5次。			단단한 꼬리로 상대를 때려서 공격한다. 5회 동안 연속으로 쓴다.			
0542-hurricane-0000|data.Name		Hurricane	Orkan		Tifone	暴风	Vent Violent	Vendaval	폭풍	ぼうふう	ぼうふう	暴風
0542-hurricane-0001|data.Desc		The user attacks by wrapping its opponent in a fierce wind that flies up into the sky. This may also confuse the target.	Anwender greift das Ziel an, indem er es mit heftigen Windböen umgibt. Ziel wird eventuell verwirrt.		Chi la usa attacca il bersaglio avvolgendolo con un vento fortissimo. Può anche confonderlo.	用强烈的风席卷对手进行攻击。有时会使对手混乱。	Le lanceur déclenche une tempête de vents violents qui s’abat sur l’ennemi. Peut aussi le rendre confus.	Golpea al objetivo con un fuerte torbellino que envuelve al rival y puede confundirlo.	강렬한 바람으로 상대를 둘러싸서 공격한다. 상대를 혼란시킬 때가 있다.	きょうれつな　かぜで　あいてを つつ こんで　こうげきする。 あいてを　こんらん　させることが　ある。	強烈な　風で　相手を 包 こんで　攻撃する。 相手を　混乱させることが　ある。	用強烈的風席捲 對手進行攻擊。 有時會使對手混亂。
0543-head_charge-0000|data.Name		Head Charge	Steinschädel		Ricciolata	爆炸头突击	Peignée	Ariete	아프로브레이크	アフロブレイク	アフロブレイク	爆炸頭突擊
0543-head_charge-0001|data.Desc		The user charges its head into its target, using its powerful guard hair. This also damages the user a little.	Rempelattacke mit ausgeflippter Retrofrisur. Anwender nimmt selbst leichten Schaden.		Chi la usa carica il bersaglio con la testa in stile afro, ma subisce un po’ di danni per il contraccolpo.	用厉害的爆炸头猛撞向对手进行攻击。自己也会受到少许伤害。	Le lanceur donne un coup avec sa tête couronnée d’une fière crinière. Blesse aussi légèrement le lanceur.	Propina un tremendo cabezazo. También daña al usuario un poco.	굉장한 아프로 머리로 상대에게 돌진하여 공격한다. 자신도 조금 데미지를 입는다.	すごい　アフロの　あたまで あいてに　とっしんして　こうげきする。 じぶんも　すこし　ダメージを　うける。	すごい　アフロの　頭で 相手に　突進して　攻撃する。 自分も　少し　ダメージを　受ける。	用帥氣的爆炸頭 猛撞對手進行攻擊。 自己也會受到少許傷害。
0544-gear_grind-0000|data.Name		Gear Grind	Klikkdiskus		Ingracolpo	齿轮飞盘	Lancécrou	Rueda Doble	기어소서	ギアソーサー	ギアソーサー	齒輪飛盤
0544-gear_grind-0001|data.Desc		The user attacks by throwing steel gears at its target twice.	Anwender greift an, indem er stählerne Zahnräder auf das Ziel schleudert. Angriff erfolgt zweimal hintereinander.		Chi la usa colpisce il bersaglio due volte di fila lanciandogli contro dei dischi d’acciaio.	向对手投掷钢铁齿轮进行攻击。连续2次给予伤害。	Le lanceur jette deux écrous d’acier qui frappent l’ennemi deux fois d’affilée.	Rota dos engranajes de hierro sobre el objetivo. Golpea dos veces.	강철의 기어를 상대에게 던져서 공격한다. 2회 연속으로 데미지를 준다.	こうてつの　ギアを　あいてに なげつけて　こうげきする。２かい れんぞくで　ダメージを　あたえる。	鋼鉄の　ギアを　相手に 投げつけて　攻撃する。 ２回連続で　ダメージを　与える。	向對手投擲 鋼鐵齒輪進行攻擊。 連續２次給予傷害。
0545-searing_shot-0000|data.Name		Searing Shot	Flammenball		Sparafuoco	火焰弹	Incendie	Bomba Ígnea	화염탄	かえんだん	かえんだん	火焰彈
0545-searing_shot-0001|data.Desc		The user torches everything around it with an inferno of scarlet flames. This may also leave those hit with a burn.	Greift alles in seiner Umgebung mit tiefroten Flammen an. Ziel kann Verbrennungen erleiden.		Chi la usa lancia fiamme scarlatte su tutti i Pokémon nelle vicinanze, danneggiandoli. Può anche scottarli.	用熊熊烈火攻击自己周围所有的宝可梦。有时会陷入灼伤状态。	Des boules de feu s’abattent sur tous les Pokémon  autour du lanceur. Peut aussi les brûler.	El usuario envuelve sus alrededores en un infierno de llamas. Puede quemar.	새빨간 불꽃으로 자신의 주위에 있는 포켓몬을 공격한다. 화상 상태로 만들 때가 있다.	まっかな　ほのおで　じぶんの まわりに　いるものを　こうげきする。 やけど　じょうたいに　することが　ある。	真っ赤な　炎で　自分の 周りに　いるものを　攻撃する。 やけど状態に　することが　ある。	用熊熊烈火 攻擊自己周圍所有的寶可夢。 有時會讓對手陷入灼傷狀態。
0546-techno_blast-0000|data.Name		Techno Blast	Techblaster		Tecnobotto	高科技光炮	TechnoBuster	Tecno Shock	테크노버스터	テクノバスター	テクノバスター	高科技光炮
0546-techno_blast-0001|data.Desc		The user fires a beam of light at its target. The move's type changes depending on the form the user is in.	Der Anwender feuert einen Lichtstrahl auf das Ziel. Der Typ des Angriffs ändert sich je nach Form des Anwenders.			向对手放出光弹。属性会根据自己携带的卡带不同而改变。		El usuario dispara un rayo de luz al objetivo. El tipo depende de la forma del usuario.				
0547-relic_song-0000|data.Name		Relic Song	Urgesang		Cantoantico	古老之歌	Chant Antique	Canto Arcaico	옛노래	いにしえのうた	いにしえのうた	古老之歌
0547-relic_song-0001|data.Desc		The user sings an ancient song and attacks by appealing to the hearts of the listening opposing Pokémon. This may also induce sleep.	Anwender greift mit Urgesang an, der Ziele in der Nähe im tiefsten Inneren anspricht. Diese schlafen eventuell ein.		Chi la usa attacca i nemici intorno a sé intonando un’antica melodia che colpisce il loro spirito. Può anche farli addormentare.	让对手听古老之歌，打动对手的内心进行攻击。有时会让对手陷入睡眠状态。	Le lanceur attaque l’ennemi en lui chantant une chanson d’un autre temps. Peut l’endormir.	Ataca conmoviendo a los rivales de alrededor con un antiguo canto. Puede dormirlos.	옛 노래를 상대에게 들려주고 마음에 호소하여 공격한다. 잠듦 상태로 만들 때가 있다.	いにしえのうたを　あいてに　きかせて こころに　うったえて　こうげきする。 ねむり　じょうたいに　することが　ある。	いにしえのうたを　相手に　聞かせて 心に　うったえて　攻撃する。 眠り状態に　することが　ある。	唱出古老之歌， 打動對手的心進行攻擊。 有時會讓對手陷入睡眠狀態。
0548-secret_sword-0000|data.Name		Secret Sword	Mystoschwert		Spadamistica	神秘之剑	Lame Ointe	Sable Místico	신비의칼	しんぴのつるぎ	しんぴのつるぎ	神秘之劍
0548-secret_sword-0001|data.Desc		The user cuts with its long horn. The odd power contained in the horn does physical damage to the target.	Schneideangriff mit dem langen Schwert des Anwenders. Die mysteriöse Kraft aus dem Horn erzeugt physischen Schaden.		Chi la usa attacca il bersaglio tagliandolo con una spada mistica. La misteriosa energia sprigionata provoca danni fisici.	用长角切斩对手进行攻击。角上拥有的神奇力量将给予物理伤害。	L’ennemi est lacéré par une longue corne. Son pouvoir mystérieux inflige des dégâts physiques.	Ensarta al objetivo con un sable, hiriéndolo con su místico poder. Produce daño físico.	긴 뿔로 베어 공격한다. 뿔이 머금은 이상한 힘은 물리적인 데미지를 준다.	ながい　つので　きりつけ　こうげきする。 つのが　まとった　ふしぎな　ちからは ぶつりてきな　ダメージを　あたえる。	長い　つので　切りつけ　攻撃する。 つのが　まとった　不思議な　力は 物理的な　ダメージを　与える。	用長角斬切對手進行攻擊。 角上擁有的神奇力量 會給予對手物理傷害。
0549-glaciate-0000|data.Name		Glaciate	Eiszeit		Gelamondo	冰封世界	Ère Glaciaire	Mundo Gélido	얼다세계	こごえるせかい	こごえるせかい	冰封世界
0549-glaciate-0001|data.Desc		The user attacks by blowing freezing cold air at opposing Pokémon. This lowers their Movement Speed.	Anwender greift an, indem er dem Ziel klirrend kalte Luft entgegenbläst. Dies verringert dessen Bewegungsgeschwindigkeit.			将冰冻的冷气吹向对手进行攻击。会降低对手的移动速度。			차가운 냉기를 상대에게 내뿜어 공격한다. 상대의 행동속도를 떨어뜨린다.			
0550-bolt_strike-0000|data.Name		Bolt Strike	Blitzschlag		Lucesiluro	雷击	Charge Foudre	Ataque Fulgor	뇌격	らいげき	らいげき	雷擊
0550-bolt_strike-0001|data.Desc		The user surrounds itself with a great amount of electricity and charges its target. This may also leave the target with paralysis.	Lädt seinen Körper mit einer gewaltigen Menge an Elektrizität auf und rammt damit das Ziel. Ziel wird eventuell paralysiert.			让强大的电流覆盖全身，猛撞向对手进行攻击。有时会让对手陷入麻痹状态。			방대한 전기를 몸에 둘러 상대에게 돌진해서 공격한다. 마비 상태로 만들 때가 있다.			
0551-blue_flare-0000|data.Name		Blue Flare	Blauflammen		Fuocoblu	青焰	Flamme Bleue	Llama Azul	푸른불꽃	あおいほのお	あおいほのお	青焰
0551-blue_flare-0001|data.Desc		The user attacks by engulfing the target in an intense, yet beautiful, blue flame. This may also leave the target with a burn.	Anwender greift an, indem er das Ziel in wunderschöne, intensivblaue Flammen hüllt, die es eventuell verbrennt.			用美丽而激烈的青焰包裹住对手进行攻击。有时会让对手陷入灼伤状态。			아름다우면서도 격렬한 푸른불꽃으로 상대를 둘러싸서 공격한다. 화상 상태로 만들 때가 있다.			
0552-fiery_dance-0000|data.Name		Fiery Dance	Feuerreigen		Voldifuoco	火之舞	Danse du Feu	Danza Llama	불꽃춤	ほのおのまい	ほのおのまい	火之舞
0552-fiery_dance-0001|data.Desc		Cloaked in flames, the user dances and flaps its wings. This may also raise the user's Sp. Atk stat.	Hüllt das Ziel mit einer Feuerhose in Flammen. Kann den Spezial-Angriff des Anwenders erhöhen.		Chi la usa viene avvolto da fiamme che scaglia contro il bersaglio, sbattendo le ali. Può anche aumentare l’Attacco Speciale.	让火焰覆盖全身，振翅攻击对手。有时会提高自己的特攻。	Le lanceur enveloppe l’ennemi de flammes. Peut aussi augmenter l’Attaque Spéciale du lanceur.	Envuelto en llamas, el usuario baila y bate sus alas. Puede aumentar el Ataque Especial.	불꽃을 두른 날개를 쳐서 공격한다. 자신의 특수공격이 오를 때가 있다.	ほのおを　まとい　はばたいて　あいてを こうげきする。じぶんの　とくこうが あがることが　ある。	炎を　まとい　はばたいて　相手を 攻撃する。自分の　特攻が あがることが　ある。	讓火焰圍繞全身後， 振翅攻擊對手。 有時會提高自己的特攻。
0553-freeze_shock-0000|data.Name		Freeze Shock	Frostvolt		Elettrogelo	冰冻伏特	Éclair Gelé	Rayo Gélido	프리즈볼트	フリーズボルト	フリーズボルト	冰凍伏特
